title,date,body
"Malta still a hotspot for trafficking, Philippines’ government says","May 8, 2023 9:25 AM",Tista' taqra bil Malti The government of the Philippines has warned its nationals that Malta is “still a hotspot for trafficking” In a Facebook post the Bureau of Immigration reported the interception of two human trafficking victims bound for Malta According to the statement the Bureau of Immigration Commissioner Norman Tansingco said the victims posed as friends travelling as tourists The pair had a flight to Bangkok scheduled on 29 April from Manila’s Ninoy Aquino International Airport Terminal 2 The passengers initially declared they were leaving a fourday holiday and presented proof of local employment at dental clinics in the country However they eventually admitted that their final destination was Malta and that their documents were only handed to them by an unknown individual that same morning outside the airport “Both women later admitted during secondary inspection that their final destination is Malta and that their documents were only handed to them by an unknown person that same morning outside the airport” Tansingco said According to the Bureau the victims were unaware that their employment visas to Malta were already cancelled even before leaving the country They added that they were instructed by their recruiter to wait for the rest of their travel documents upon reaching Bangkok “We call on the public to exercise caution in dealing with recruiters Several investigations have shown exploitation of domestic and foreign victims in the Mediterranean and this has long been a cause of concern” said Tansingco “The BI understands being enticed by greener pastures abroad but by not going through the correct process aspiring migrant workers risk getting abused overseas” he added The trafficking victims were turned over to the InterAgency Council Against Trafficking IACAT for further investigation and filing of appropriate charges against their recruiters
Air Malta flight diverts to Rimini due to technical issue,"May 8, 2023 7:00 AM",Tista' taqra bil Malti An Air Malta flight from Malta to Berlin diverted to Federico Fellini airport in Rimini Italy on Sunday afternoon due to a technical issue The airline said passengers have been transferred to a hotel for overnight accommodation and said that it was working on a solution to get passengers to a final destination as soon as possible “Due to this necessary diversion KM377 from Berlin to Malta will also be rescheduled with a substantial delay” the national airline said “Passengers travelling on KM377 are being provided with the necessary assistance It apologised for the inconvenience The aircraft left Malta at 210pm and landed in Rimini shortly after 4pm
Chris Cardona plans no reaction to Degiorgio brothers’ claims,"May 7, 2023 7:50 PM",Tista' taqra bil Malti Former minister Chris Cardona is in no mood to react to the serious claims convicted hitmen Alfred and George Degiorgio have made in a letter to the press earlier this month confirming he has no intention to sue the brothers for defamation – or even comment on their claims In their letter the Degiorgio brothers – who are serving a 40year jail sentence after admitting to their involvement in the assassination of journalist and blogger Daphne Caruana Galizia insisted that while they did not wish to minimise the seriousness of their crimes they were nonetheless used by various people including Cardona former minister Carmelo Abela and lawyer David Gatt who once shared an office with Cardona The two brothers implicated all three in the failed heist on the HSBC Malta headquarters in 2010 and in an attempted holdup on a money van in Santa Venera that same year Cardona was also implicated in the assassination of Caruana Galizia along with Keith Schembri former PM Joseph Muscat’s chief of staff Abela denied the claims – also denying ever meeting or speaking to the two brothers – through a telephone intervention on Andrew Azzopardi on 103 though he stopped short of confirming whether he would be suing them for libel Abela has already sued former minister and MP Jason Azzopardi – a lawyer to the Caruana Galizia family – over the same claims in respect to the HSBC headquarters heist Contacted by Newsbookcommt however Cardona had no interest in even addressing the Degiorgios’ latest claims “I have no comment… they have been saying the same things for years now” Cardona said The Degiorgios’ statement was also met with disdain by Caruana Galizia’s sister Corinne Vella who described it as an attempt to derail pending murder proceedings The statement does not specifically mentions the businessman indicted over the murder – former Tumas Group CEO and Electrogas director Yorgen Fenech – but appears to indirectly refer to him as the brothers claim that “people that to our knowledge had no role in these crimes have been accused”
"The day Malta wins the Eurovision it will be a national holiday, The Busker at Turquoise Carpet","May 7, 2023 7:27 PM",Tista' taqra bil Malti Malta’s Eurovision Song Contest Entry The Busker told fans that the day Malta goes on to win the Eurovision it would probably be a national holiday The threepiece band along with the participating performers walked on the Turquoise Carpet Opening Ceremony on Sunday as the Eurovision Song Contest officially kicked off in Liverpool Liverpool’s Eurovision 2023 opening ceremony was hosted at St George’s Hall in the centre of town The annual ceremony held two days before the first semifinal sees each participant strut on the Turquoise Carpet before stopping for a brief interview with the hosts
Siġġiewi’s St Nicholas statue pelted with eggs,"May 7, 2023 7:03 PM",Tista' taqra bil Malti The statue of St Nicholas in Siġġiewi was pelted with eggs by unknown individuals over night The locality’s mayor Dominic Grech shared a photo to Facebook expressing his sadness and disappointment Observing that the local council invests in cleanliness and the embellishment of the locality others committed such shameful acts Grech added that those who committed the act will have to face justice as he announced that the police are investigating the case and will sift through CCTV footage from the area This is not the first time that such acts on vandalism were carried out in the locality A pick up truck was recorded being driven into stone planters just last January while in April 2022 someone sprayed swastikas and the name of Russian president Vladimir Putin on a building
Abela promises to address people’s concerns,"May 7, 2023 6:35 PM",Tista' taqra bil Malti Labour leader Robert Abela has promised that the government would continue to address people’s concerns In a statement sent out to the press after Abela visited Ħal Balzan and Ħal Qormi in what are being dubbed as community visits by the Labour Party the PL said Abela told the residents that the government will continue to take decisions to move the country forward and ensure a fairer society Abela also spoke about the socalled tax refund cheques describing them as a part of chain of initiatives to “reward” people’s hard work Just last week the Labour leader announced a government measure during a party event saying that the government would send a one time tax refund cheque for people earning less than €60000 Before Abela announced the measure himself PL veteran Emanuel Cuschieri had already announced on his programme “we’ve started to send cheques” The Labour leader also said that the government had so far invested €16 million for the benefit of 48000 families and claimed that in the past the Nationalist Party had chosen “to burden the people” Abela also spoke about inflation saying that there was a need for additional despite the government had kept the prices of energy and fuel stable He said this was addressed through the introduction of a new mechanism calculating the cost of living
Woman in critical condition after crashing into bus shelter,"May 7, 2023 5:23 PM",Tista' taqra bil Malti A 48yearold woman is in critical condition after she crashed into a parked car and a bus shelter on Sunday The incident was reported at 215pm on Triq ilPrinċipessa Margerita in Ta’ Xbiex The preliminary investigation showed that the Naxxar woman was reversing when she hit a parked car before crashing into a bus shelter The woman was assisted on side before she was transferred to Mater Dei Hospital Duty magistrate Kevan Azzopardi is leading the inquiry
Institute for Education launches prospectus for 2023-2024 academic year,"May 7, 2023 4:15 PM",The Institute for Education has launched its prospectus for the 20232024 academic year offering 40 degree courses 47 accredited short courses and nonaccredited sessions aimed at parentsguardians of children as well as educators The prospectus introduces four new degreelevel courses a Bachelor of Education Hons Media Literacy Master of Education Teaching Students with Disabilities Master of Education TopUp and Master in Applied Educational Leadership TopUp The Pembrokebased Institute for Education was established in 2015 to provide professional training for educators but it also offers sessions to help equip the parents or legal guardians with the right educational tools to assist in the education of their children 34 such sessions are being held in the next academic year with 33 being offered free of charge one is being provided against a €15 At present around 400 people are training to obtain a qualification at the institute with 57 pursuing short and accredit courses This academic year saw over 135 parents train in various subjects through the nonaccredited training sessions with 173 educators pursuing the nonaccredited training sessions made available to them The Education Ministry highlighted that the prospectus “contains a vast range of courses in the educational sphere with the aim of providing educators with effective strategies to be able to address today’s educational needs while the courses also look at the development of the educator for a unique and holistic professional” Institute CEO Joanne Grima said that the courses of the prospective were the result of the institute’s collective efforts stating that the institution sought to create more collaborations and new courses each year to increase the opportunities available to those seeking a career in the education sector The prospectus may be viewed on the Institute for Education’s website
394 fined over vehicle smoke,"May 7, 2023 2:54 PM",Tista' taqra bil Malti A total of 394 individuals were issued against vehicles emitting excessive smoke home affairs minister Byron Camilleri told Parliament The minister was replying to a question by Opposition MP Ivan Bartolo who asked how many individuals had been slapped with a fine between January 2022 and the day the question was answered Camilleri referred to a previous parliamentary question and said that the number of fines issued through the ticketing system amounted to 394 between January 2022 and 29 March 2023 In a separate parliamentary question which was also related to vehicles transport minister Aaron Farrugia told parliament that a total of 9823 vehicles were scrapped in 2022 Replying to a question by Opposition MP Jerome Caruana Cilia Farrugia tabled figures showing the type of vehicle and the amount of vehicles per category that had been scrapped in the previous year Figures released by the National Statistics Office in April showed that during the first quarter of 2023 the stock of licensed motor vehicles increased by 1816 over the previous quarter with an average of 52 newly licensed motor vehicles per day At the end of March 2023 the stock of licensed motor vehicles stood at 426720 During the quarter under review the stock of licensed motor vehicles increased at a net average rate of 20 motor vehicles per day The majority of newly licensed motor vehicles 3039 or 646 of the total were passenger cars followed by motorcyclesPAbikesEbikes with 804 or 171 In another parliamentary question environment minister Miriam Dalli said that Malta’s emission target is to reduce its vehicle emissions by 19 when compared to 2005 levels She explained that the introduction of electric vehicles forms part of a wider measure aimed at Malta achieving its climate change goals The information was given after Opposition MP Charles Azzopardi asked by how much will carbon dioxide emissions be reduced with the introduction of electric vehicles He also asked for local studies on the introduction of such vehicles and their impact on the reduction of carbon dioxide emissions Dalli also said that the measures outlined in the Low Carbon Development Strategy targeting the transport sector are aimed at decreasing the CO2 emissions by 270000 tonnes in 2030
"Government must act against self-serving ministers, Jason Micallef insists","May 7, 2023 2:47 PM",Tista' taqra bil Malti Former Labour Party secretary general Jason Micallef insisted that the government must act decisively against members of its own cabinet who were acting in their own selfinterest “before it is too late” Micallef did not publicly name any members of the Robert Abela cabinet that he considered guilty of such behaviour though he made clear he was thinking of specific individuals in his Facebook post He opened by stating that every government that has been in power for a decade has to deal with lethargy “Then there are individuals whose ministerial failings tarnish the accomplishments of the government” he added as he insisted that the present government was largely meeting the public’s expectations “However every government has ministers that not only fail to meet standards but also disappoint with the lack of results lack of effort and above all their parochial mentality” He insisted that he was “speaking from experience and based on the evidence I have in hand” before suggesting that he was getting ready to make this public “That moment will come too and not too far away” Micallef continued He insisted that the government deserved to complete the present legislature and win the next government election but was being saddled down by those who “do not care about the government and the national interest but only about getting reelected at all costs” “These individuals are the ones who cause the most harm to their colleagues in cabinet the government they represent and above all the citizens that elect them This is the situation that the Labour government must address before it is too late I know what I am saying and who I am saying it about” he concluded
Nominations for the Nazzareno Vassallo Award 2023 are open,"May 17, 2023 2:51 PM",Tista' taqra bil Malti Nominations for The Nazzareno Vassallo Award 2023 will remain open for submissions till the 15th of June 2023 Celebrating 25 years since its inception The Nazzareno Vassallo Award aims at recognising outstanding and committed individuals who in one way or another helped to positively impact older persons’ lives The award is named after Nazzareno Vassallo the founder of Vassallo Group and the first entrepreneur to embark on providing care services for older persons within the private sector in Malta Nominations may originate from individuals groups or institutions as well as local councils and NGOs  All have the opportunity to nominate a dedicated person or entity whose work with the elderly stands out The applications for this year’s award can be downloaded from Vassallo Group Malta website or Care Malta and can be submitted via email on nvawardcaremaltacom or call on 22584200 for more information This award is organised jointly by the Vassallo Group and CareMalta Group which this year is celebrating its 30th Anniversary CareMalta Group is the island’s leader in residential care for the elderly operating also in the area of disability through HILA Home to Independence and Limitless Abilities content supplied by Care Malta
Police seek public’s assistance to locate wanted person,"May 17, 2023 11:45 AM",The police have called for the public’s assistance to trace down Aldiar Sarmiento Rojas who is wanted in relation to a public court case Anyone having any information about him should contact the police even anonymously pm tel21224001 or 119 or the nearest police station quoting number 152023 One can also contact the police via Messenger
Standards commissioner asked to investigate officials who ignored NAO queries,"May 16, 2023 9:19 AM",Standards Commissioner Joe Azzopardi has been asked to investigate two public appointees – Malta Enterprise CEO Kurt Farrugia and State Aid Monitoring Board chair Paul Zahra – for their failure to comply with the National Audit Office’s requests for information concerning the hospitals concession managed by Vitals and Steward The NAO’s third report was published on Monday and its damning findings include the conclusion that former minister Konrad Mizzi had misled Cabinet when the concession was transferred from Vitals to Steward and that he had engineered a controversial €100 million payoff clause in favour of the latter But in his letter to the Office of the Standards Commissioner the independent political candidate Arnold Cassola – whose letters have initiated the lion’s share of the investigations tackled by the office to date – focused on a brief remark in the 450page report “Of concern to the NAO was that Malta Enterprise failed to reply to any of the queries submitted This Office sought information relating to the lease agreement entered into by Government with the QMUL for the Barts Medical School and an account of the payments received by Malta Enterprise in this respect Similarly queries submitted to the SAMB remained unaddressed” Auditor General Charles Deguara said This behaviour was deemed unacceptable by Cassola who accused Farrugia and Zahra of “attempting to sabotage the NAO’s inquiry into the misappropriation of over €400 million in public funds from Vitals and Steward at the expense of the Maltese public and in the complicity of a number of politicians including former minister Konrad Mizzi He described their behaviour as ‘omertà’ insisting that this was not acceptable “in a state that adheres to the democratic values of transparency and truth” Farrugia had been an integral part of former prime minister Joseph Muscat’s secretariat before being appointed as Malta Enterprise CEO in 2019 acting as head of government communication and Muscat’s spokesperson Earlier this year Cassola had asked the SAMB to investigate the concession following last February landmark judgment which cancelled it and deemed it “fraudulent” receiving no reply
Grech: ‘The thieves are turning against each other’,"May 18, 2023 8:54 AM",Tista' taqra bil Malti PN leader Bernard Grech called his supporters on Wednesday as he said that the latest revelations on the fraudulent hospitals deal piloted by former prime minister Joseph Muscat showed that the corrupt are turning against each other Those who thought they were above the law Grech said in reference to Muscat and his former righthand men Keith Schembri and Konrad Mizzi “are hiding and blaming each other” Addressing a protest outside parliament on Wednesday evening Grech said “they are now turning against each other as thieves do” He added that the people “have a mission to give birth to a new Malta a clean Malta where our children can have the future they deserve” Grech recalled that slain journalist Daphne Caruana Galizia had exposed the deceit and corruption in the hospitals deal and said that “we can never stop honouring her” “She gave her life so we can know the truth we know today” Grech told protestors “We must never forget her” He also pointed out that a number of Maltese and foreign journalists are striving to uncover the truth about the “corrupt Labour government” “Journalists civil society Adrian Delia Simon Busuttil – these people have all contributed to ensure Daphne did not die in vain” he said The PN leader also saluted activists and civil society organisations that have for years strived to for justice and kept up the fight against corruption as he singled out Repubblika and Occupy Justice for their invaluable work Grech added that everyone who worked for the truth is either getting killed threatened or ridiculed The protest came after a a damning NAO report found that Mizzi and Muscat conspired to mislead the Cabinet of minister over various aspects of the concession deal which was annulled by court in February 2023 This was followed by revelations that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH “This shows that we are living in a mafia state where people are killed people are threatened and where people’s money is stolen to be given to criminals” the PN leader said “We are living in surreal times It is now the moment of truth the moment when we tell them that enough is enough” Grech told the crowd People have had enough of  the “corrupt government” Grech said as he urged people of all political hues to remain united to create a better future for the country “and ensure impunity does not reign” While insisting that the PN will not shy away from fighting corruption Grech said “we are not done we still have work to do and we must do this together We cannot continue to let them do as they please”
Archbishop Charles Scicluna denies ever being an Opus Dei member,"May 17, 2023 8:00 PM",The Church in Malta has denied allegations made by a blogger that Archbishop Charles Scicluna is a member of Opus Dei “In a recent blog post Simon Mercieca a professor of history at the University of Malta alleged that Archbishop Charles Scicluna is a member of Opus Dei” the Curia said in a statement on Wednesday “This is totally untrue Contrary to the misleading statement made by Prof Mercieca the Archbishop is not and never has been a member of Opus Dei” the statement added
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday’s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia’s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day” he said before telling Delia that he may continue his address Grech said that the Maltese “are living in surreal times” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “greatest fraud that has ever happened in this country” that Abela has lied and that his government was preventing the country’s institutions from doing their duty All of these he said were “a known fact” Instead he said looking straight at the cameras he wished to tell address those “who long for hope in politics and who have a right to hope” including the Labourites “who believed you” he added turning his face to the government benches “Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “continuity” that Abela had promised when he became prime minister “It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat’s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “The only surreal thing in here… is the opposition leader whose days are numbered” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed
"Archbishop quotes St Ġorġ Preca: for many, God remains a ‘great zero’","May 7, 2023 2:11 PM",Tista' taqra bil Malti Archbishop Charles Scicluna quoted a lament often cited by St Ġorġ Preca – that “for many God is a great zero” – as he celebrated mass on Sunday highlighting that the same concern was as relevant today The Archbishop was celebrating mass at the Parish Church of Our Lady of Mount Carmel in FleurdeLys a locality that held a particular significance for Dun Ġorġ It was in a field in the area that Dun Ġorġ then a young priest began instructing his first disciple Ġeġe Borg who subsequently became the first superiorgeneral of the Society of Christian Doctrine MUSEUM Accordingly he referred to the saint’s teachings in his homily linking them to the gospel of the day John’s account of Jesus comforting his disciples and explaining that the way to God the father was through him Jesus he said answered a question many had when faced with the death of a loved one or when reflecting on their own mortality “All this struggle all this sacrifice attending mass trying to live a good life what is it for Is there something waiting for me” As the Archbishop recalled Jesus had told his disciples that “my Father’s house has many rooms” and that he would not have come to “prepare a place” for them if that were not so “How beautiful how comforting it is that we can understand that this is the point of death of the departure of our loved ones a moment that always breaks our hearts and scares us” he said The Archbishop said that a place in heaven was reserved for everyone the choice was in everyone’s hand But he added “if you choose the path of love and forgiveness you are safe… forgiveness after all is an expression of love” The way forward to avoid any undue worries he continued is to “devote your life soul and heart to Jesus” But as he reflected on this conclusion the Archbishop questioned whether all that the faithful were doing – including through the work done in parishes – was helping to achieve this goal It is at this point that he referred St Ġorġ Preca recalling that he had listened to all the speeches that had been recorded by MUSEUM members as he sought to understand the saint’s life and teachings These speeches he observed revealed that among the aphorisms that the saint was fond of repeating was a common complaint that for many “God is a great zero” that it is as though he did not exist “We remember this saying with a broken heart for many people God is still a great zero” But then he continued one can also remember his prayer “Dear Lord I need you” which reflected Jesus’ words to all his disciples “This is the word of comfort that our Lord gives us today Not a law not a command but a name Jesus ‘Do not let your hearts be troubled Believe in God believe also in me’” he said “Believe in Jesus”
Man charged over Sliema assault gets bail,"May 7, 2023 12:44 PM",Tista' taqra bil Malti A 31yearold Libyan national living in TasSliema was granted bail after being accused of causing grievous injuries to another man during a fight at Sliema’s Medasia Playa at 10pm last Sunday The man who had been jailed in the past for injuring a Paceville bouncer with a samurai sword   insisted that he was acting in selfdefence and did not know the victim as he pleaded not guilty to the charges The defence also presented evidence in court showing that their client had broken his nose during the altercation He was also charged with breaching bail conditions imposed on him over a separate crime in 2019 The accused was granted bail against a €5000 deposit and a €10000 guarantee A curfew was imposed on the man and has to home between 9pm and 6am each day He was also ordered to sign a bail book every day at the St Julian’s police station Duty magistrate Elaine Mercieca presided over the case Inspector Shamus Woods led the prosecution Lawyers Franco Debono and Francesca Zarb represented the accused
"‘Compromised’ PM cannot address cost of living, Grech insists","May 7, 2023 12:40 PM",Tista' taqra bil Malti Nationalist Party leader Bernard Grech insisted on Sunday that the government was unable to address the deep impact of a fastrising cost of living because a “compromised” prime minister Robert Abela had other worries to deal with including internal party rifts and the fact that he was “captured” by people who had dirt on him Grech was addressing a PN political activity in Għargħur and ahead of his address a similar argument was made by the party’s secretarygeneral Michael Piccinino who said that Abela “is too preoccupied with his and his friends’ scandals” to address the cost of living and other concerns The PN leader then drove the point home focusing on the various controversies that have emerged in recent months to depict Abela as someone who was trying to project serenity and strength and failing miserably in the attempt “The more powerful he attempts to appear the more people realise that he is weak confused and worried” Grech said “And how can he not worry with all the internal divisions in his party” The PN leader suggested that these internal divisions largely emerged since the Labour Party under Abela has discarded all socialist policies The PM he said was failing to lead and offer solutions because “he is compromised he is captured” “But he is captured only because there are things these people can reveal” he added “And this is why he is not serene why he is perplexed why he is preoccupied with protecting Joseph Muscat Konrad Mizzi Keith Schembri Chris Cardona and others” Grech insisted however that other Labour MPs could not be let off the hook “because every time we went to Parliament with a motion concerning a corrupt deal we found Labour MPs defending it” In the meantime he said Malta’s young were losing hope in a decent future in the country not least since their housing prospects were becoming more precarious with every passing year He insisted that this problem was largely brought on by the government which pursued numerous policies – including largescale importation of foreign workers and the sale of citizenship tied to the acquisition or rental of property – which only served to drive prices up at the expense of the general public “How can you be surprised when many young see no future in this country when many leave because they cannot find a place to live in” he asked
"The Busker performed at the Cavern Club, the Beatles’ birthplace","May 7, 2023 12:10 PM",Tista' taqra bil Malti Malta’s Eurovision Song Contest representative The Busker performed at the Cavern Club in Liverpool The legendary club is mostly known for being the centre of rock n’ roll in the 1950s and 1960s and is considered the birth place of the Beatles Malta’s threepiece band released footage of the performance held last Friday The Busker will perform at the first semifinal on Tuesday
"Man handed a suspended sentence, woman on probation after pleading guilty in social benefits racket","May 7, 2023 11:38 AM",Davide Grech 33 from ĦażŻebbuġ and Mary Anne Azzopardi 57 from San Ġwann were given a suspended sentence and placed on probation respectively after pleading guilty in the social benefits racket The pair are part of a 17strong group were charged over an alleged benefits fraud racket in which they all claimed to be suffering from epilepsy even if they held a driving licence Some of them had already been convicted while others are still awaiting judgement Suspicions were first roused last year when social security officers were vetting medical certificates submitted by a number of applicants who claimed benefits for severe disability A number of certificates bore similarities in that applicants claimed to be suffering from epilepsy and each certificate was phrased in similar terms The only difference was in the dates The certificate were purportedly signed and stamped by the same neurology consultant The Income Support and Compliance Division within the Ministry for Social Policy referred the case to the police for further investigation The police questioned the consultant in question and he told the investigators that he had never examined those patients and that neither the signature nor the stamp on the documents were his It also emerged that he had not used that stamp on the certificate for two years It was also found that  the patients allegedly suffered from epilepsy however they were all in possession of a driving licence even though this should not have been the case The police then questioned the individuals whose name appeared on the suspicious applications before pressing charges against 17 individuals for falsifying documents to claim state benefit they were not entitled to Some of those charged registered a guilty plea at the first hearing Grech and Azzopardi only registered a guilty plea on 26 April and were subsequently sentenced on 4 May In court the director at the Income Support and Compliance Division George Cremona said the two individuals had not received any benefits since their application had been under investigation The neurological consultant confirmed under oath that he had never signed the certificates nor had he written them insisting that the handwriting and stamp used were not his Magistrate Gabriela Vella sentenced Grech to a 13month imprisonment suspended for two years Azzopardi was placed under a probation order for 13 months Police inspectors Wayne Rodney Borg and Andy Rotin led the prosecution
Government would already have legalised abortion if it wanted to – Agius Galea,"May 7, 2023 10:53 AM",Tista' taqra bil Malti The government would have just gone ahead and introduced abortion had it ever intended to do so according to Labour backbench MP Malcolm Paul Agius Galea The Żebbuġ MP was being interviewed on Andrew Azzopardi on 103 when he was questioned on the bill which would amend Malta’s strict antiabortion legislation to specify that no crime is being committed “when the termination of a pregnancy results from a medical intervention aimed at protecting the health of a pregnant woman suffering from a medical complication which may put her life at risk or her health in grave jeopardy” The bill was approved in its second reading along party lines last December but the process has since stalled with a government rattled by various controversies seemingly in no rush to proceed on what has proven to be a politicallycontentious topic Amendments have already been promised with the apparent attempt of addressing concerns by those opposed to abortion that the proposed provisions could be abused but have yet to be made public During the interview Agius Galea conceded that the government could have held a wider consultation process before forging ahead with the bill highlighting the government’s acceptance of the need to amend the bill that was approved His insistence that the government would have already introduced abortion if it planned to came in response to suggestions that this was the government’s ultimate intention the government has no plans to remove the provisions criminalising abortion the MP maintained Nevertheless the MP questioned whether Malta wanted to remain one of very few countries that prohibited abortion in all circumstances – as the law currently stands even in cases where a pregnancy can prove fatal to a woman – and emphasised that the ban did not actually stop abortions from happening “The PM had said that an abortion takes place every day but I suspect that the number is even higher” he said The MP a family doctor by profession was also asked about the Malta Union of Midwives and Nurses’ ongoing dispute with the government over its members’ salaries and working conditions in the public health sector leading the union to call widespread industrial action which is presently suspended Agius Galea highlighted that the MUMN was doing its duty as a trade union emphasising that no one wanted their trade union to be a pushover The MUMN’s members he explained expected their union to defend their interests forcefully and in this light industrial action was an obvious course of action when previous attempts at resolving a dispute failed Nevertheless he suggested that trade unions may resort to strikes a little too liberally and questioned why strikes are called only for them to be suspended when talks begin “couldn’t these have taken place before” he asked The MP also observed that it is particularly challenging to negotiate collective agreements with certain entities given the various interests involved The court’s cancellation of the hospitals concession first granted to Vitals and then passed on to Steward Health Care was also discussed with Agius Galea conceding that this concession could have been handled better The MP emphasised that Steward’s failure to deliver the promised investment in the three hospitals – the Gozo General Hospital St Luke’s Hospital and Karin Grech Hospital – was unacceptable even if it did deliver healthcare services properly Agius Galea insisted that the government’s intentions in pushing for the were noble decentralising Malta’s healthcare system and ease the pressure on Mater Dei Hospital “The only ones never to make a mistake are those who do nothing though this was a huge mistake” the MP said Despite everything he added one had to admit that the concession did see a marked improvement of the level of service at the Gozo hospital
Man jailed 54 months after pleading guilty of grievously injuring his partner,"May 7, 2023 10:16 AM",A Polish national has been jailed 54 months after he pleaded guilty to grievously injuring his partner while drunk The incident took place late last month during the early hours of the morning in St Paul’s Bay The man was further accused of insulting and threatening his partner committing a crime during the operative period of a conditional discharge given on 16 April 2023 as well as relapsing The court was asked to issue a protection order in favour of the victim The man pleaded guilty to the charges The plea was confirmed after he was given time by the presiding magistrate to reconsider his admission The Court in delivering its judgement took into consideration that the defendant had admitted to the charges at a very early stage and had cooperated fully of with the police It was observed that even though the accused alleged that he had grievously injured his partner whilst allegedly under the influence of alcohol the court held that intoxication could not be raised as a defence The prosecution declared that the injuries inflicted on the woman were grievous in nature with the court observing that such an offence carried a punishment from one to seven years imprisonment According to the Criminal Code the punishment has to increase by one or two degrees since the injured party is the defendant’s partner It also took into consideration that the defendant was conditionally discharged for a period of three years by the Court The man was sentenced to 54 months imprisonment Magistrate Charmaine Galea who presided over the court issued a treatment order so that the defendant is helped to address his alcohol problem A restraining order was issued in favour of the victim Inspector Sherona Buhagiar led the prosecution
Woman grievously injured after Xemxija crash,"May 7, 2023 9:04 AM",Tista' taqra bil Malti A 36yearold woman was grievously injured on Sunday morning when the car she was driving crashed into a wall The incident happened at 345am on Xemxija Hill The woman from Mellieħa was taken to Mater Dei Hospital for treatment
