Site,Document title,Body,Location
https://timesofmalta.com/,EU approves €30 million Malta government scheme to support grain prices,"The European Commission has approved a €30 million Malta government scheme to support companies in the importation, wholesale and manufacture of grain products impacted by Russia's invasion of Ukraine. The scheme, 'MDB Subsidised Loan Scheme', was approved under the State aid Temporary Crisis Framework adopted by the Commission on March 23, which recognises that the EU economy is experiencing a serious disturbance.Russia's invasion of Ukraine has put massive pressure on wheat prices, as both countries are major producers and exporters of grain.Back in March, Malta's top wheat importers sounded the alarm about the possibility that other countries will start to restrict exports and has called for a national strategy on the importation of wheat.Earlier this month, Prime Minister Robert Abela said ""millions of euro"" have been allocated to keep flour prices stable.Under this new measure, the aid will take the form of subsidised loans.European Commission Vice-President Margrethe Vestager, who is in charge of the competition policy said the €30 million scheme will enable Malta to mitigate the economic impact of Putin's war in Ukraine and “to support companies active in the importation of grains and other similar products affected by the current geopolitical crisis.”“We continue to stand with Ukraine and its people. At the same time, we continue working closely with Member States to ensure that national support measures can be put in place in a timely, coordinated, and effective way while protecting the level playing field in the Single Market,” he said.Malta had notified the commission under the Temporary Crisis Framework of the €30 million scheme to support companies of all sizes active in the importation, manufacturing and wholesale of grains and other similar products in the context of Russia's invasion of Ukraine.The loan is limited to two years. All loan contracts must be signed by December 31 2022.Nationalist Party spokesperson Peter Agius, who first called on the European Commission to safeguard prices, welcomed the news on Wednesday.""This is politics which shows results. Following pressure from Bernard Grech, the European Commission today approved a €30 million aid scheme to help Maltese consumers on the price of bread. We will continue to work,"" he said.",
https://timesofmalta.com/,Deportations are forcing people traffickers to shift operations - minister,"A record number of migrant repatriations over the past months has contributed to people smugglers changing their tactics, with fewer migrants heading for Malta, Home Affairs Minister Byron Camilleri said on Wednesday.Speaking in parliament, the minister said Malta would continue to observe its international obligations and could not let any migrants drown. But it could also not have an open-door policy for migration.It was not just laws and obligations to safeguard migrants which needed to be observed, but also laws and obligations concerning the national border and security, he said.Those people who were genuinely deserving of international protection were being given a good, professional service but the country was also increasingly addressing the situation of those who were not entitled to international protection and did not have a right to live here. The fact that a record number of migrants had been sent back to their country of origin had served as a signal to the people who demanded fairness in the handling of the migration challenge, and a signal too to the people traffickers.Indeed, Malta had seen a shift in the number and the nationality of arrivals, with migrants going to other countries and criminal traffickers realising their 'business model' was not succeeding.  The setting up of the Returns Unit, which works closely with the Immigration Police and the Foreign Ministry had given good results and a direct correlation could be seen between its work and a decrease in migrant arrivals.It was in this context that the Immigration Act was being amended to facilitate deportations and remove problematic areas of the law – such as those irregular migrants who arrived by air had to be returned on the same plane they arrived on, something which was often impractical.The law also tackled problems of unaccompanied minors and provided that the Agency for the Welfare of Asylum Seekers could be appointed as the interim guardian of such people.Camilleri said the government would continue to tackle the migration challenge fairly but firmly. To delay decisions often caused hardship for genuine asylum seekers, while those who abused the system continued to thrive.Action would therefore continue to be taken locally but also abroad, not least to deter and discourage migrant departures from Libya. The challenge would persist and it was the government's duty to create better structures to handle it, he said.",
https://timesofmalta.com/,MP calls for register of people convicted of domestic violence,"Malta should consider a system that would allow the police to disclose information to women or men about their partner's previous history of abuse, Rosianne Cutajar told parliament on Wednesday.The Labour MP said Malta has made major steps forward to address domestic violence. But over 500 domestic violence reports were filed in the first four months of this year. While it was good that such cases had been reported, this also showed that more must be done, she said.  “We have a dedicated unit in the police corps, we provide free legal aid for domestic violence victims and we have a full-time domestic violence commissioner, but more is needed,” Cutajar said.“Now is the time to explore the possibility of having a register of those people who have a history of abuse or domestic violence. People have the right to know if their partner has a history of abuse.”Such a facility is already available in the UK - the Domestic Violence Disclosure Scheme, better known as Clare's Law. The law is so named after Clare Wood, a woman murdered in England by a former partner who police knew to be dangerous.Clare's Law enables the police to disclose information to a victim or potential victim of domestic abuse about their partner's or ex-partner's previous abusive or violent offending. The law is intended to reduce intimate partner violence. Cutajar also referred to how a woman who was kicked, punched and held captive for several hours saw her aggressor walk away without any effective consequences. “The aggressor admitted his actions in court, but nothing was done. It is already very difficult for these people to come forward and report abuse, but when they read such stories, they lose all hope in our courts,” she said.Cutajar said the people deserved a court that helped them, and not a system where cases dragged on for years. She said a number of laws relating to the structure of the family were a ""result of the past"" and need a revamp.She provided examples such as children's custody, and how more often than not, the mother is given full custody of the child. ""Parent's access to their child needs to be more balanced, such a balance will be beneficial for both the parents and the child,"" she said.""We have made a lot of progress, but we must be realistic when it comes to the courts, we need more reforms and change.""",
https://timesofmalta.com/,Steward Healthcare fully bound by conditions of original contract- Fearne,"Steward Healthcare is fully bound by the conditions of the original contract between Vitals and the government for the running of state hospitals, once it had fully taken over the concession, Health Minister Chris Fearne told parliament on Wednesday.Replying to a question by Opposition MP Beppe Fenech Adami on whether there had been progress in talks on contract conditions, Fearne said it was natural that all concessionaires wanted more favourable conditions, but once Steward had fully taken over the Vitals concession, it was fully bound by the contract conditions.  Changes to the substance of the contract could not be made.The US healthcare provider is running three state hospitals, Karin Grech, St Luke's and the Gozo General Hospital, as part of a multi-million deal after it took over from the original concession from Vitals Global Healthcare (VGH) in 2015.The €4 billion hospital contract hinged on the promise that the private investors would spend €220 million to completely revamp the health facilities. However, VGH sold the concession to Steward Healthcare after two years.“We fully expect that the service (by Steward) is provided according to the concession agreement,” Fearne said.Fearne added that from a health service perspective, the service given to patients at Gozo hospital was very good and had improved over the years.Referring to various court proceedings currently underway regarding the concession, Fearne said the outcome would be interesting in view of their impact on the government's relationship with the company.Earlier this year, Prime Minister Robert Abela said talks between the government and Steward Health Care about their concession agreement are at a standstill. Stewards is also refusing to pay €36.5 million in unpaid taxes and has taken the tax commissioner to court to resolve the dispute.",
https://timesofmalta.com/,Man with 30-page criminal record 'brandished knife in social security office',"A man who brandished a large knife at staff in a social security office and, on a separate occasion, threatened to use it, was taken to court on Wednesday.The court heard that Antoine Monsigneur, 51, from Hamrun, had, last Friday, turned up at the Social Services office at Hamrun asking for his cheques to be cashed. When his request was refused an argument ensued and he drew a 15cm breadknife. A report was subsequently made to the police.Monsigneur was arrested but gave no reply to questions,  He was then granted police bail while investigations continued.Earlier this week he phoned the Social Services helpline. It was a 27 minute call that was recorded. In the last minute or so he made some ""rough, serious threats"" making reference to ""the weapon,"" prosecutors said.He was promptly rearrested.Monsigneur was accused of attempted grievous bodily harm, carrying a knife without police licence, breaching the peace, assault, harassing a Social Security Department official and causing him to fear violence.He was further accused of threatening and insulting officials, misuse of electric communications equipment, breach of bail and recidivism.Inspectors Clayton Camilleri and Andy Rotin objected to bail, saying the accused has an anger management problem, and such behaviour was unacceptable in society. They pointed out that when granted police bail he committed further wrongdoing.""Not true jaħasra! "" the man complained from the dock. But the inspectors retorted that he has a 30-page long criminal record.After hearing submissions magistrate Marse-Ann Farrugia denied bail.Lawyer Martin Farrugia was legal aid counsel. ",
https://timesofmalta.com/,Dainese becomes first Italian winner in 2022 Giro,"Alberto Dainese (DSM) became the first Italian winner in this year's Giro d'Italia when he edged the sprint to take stage 11 in Reggio Emilia on Wednesday.Dainese, 24, who had never previously won a stage in the Giro, beat the Colombian Fernando Gaviria in the dash for the finish. Another Italian Simone Consonni took third. On the podium, the Italian was treated to the traditional giant bottle of prosecco, like his predecessors.But significantly, the magnum had been uncorked as a precaution against a repeat of the accident that befell Biniam Girmay on Wednesday when he was injured in the left eye by the cork and subsequently ruled out of the race.",
https://timesofmalta.com/,Coach Stefano Sanderra signs new two-year contract with Hibernians FC,"Hibernians FC announced that they reached an agreement with coach Stefano Sanderra over a new two-year contract.The Italian coach had been at the helm of Hibernians for the past four seasons, during which time he helped nurture a very strong group of players who finally reach their peak performance in 2021-22 when they managed to be crowned as Malta champions.Sanderra's contract expired at the end of the season and talks were immediately started between the club and the Italian coach over a contract extension.After a few days of talks, an agreement was finally reached that saw Sanderra put pen to paper on a two-year contract.",
https://timesofmalta.com/,Spartans not expected to retain the services of Dielna and Sasere,"Ħamrun Spartans are not expected to retain the services of defender Claude Dielna and striker Franklin Sasere, the Times of Malta can confirm.The Spartans are looking to rejuvenate their squad after topsy-turvy Premier League campaign which saw them forfeit the title of Malta champions to Hibernians with the team only managing to secure European football on the final day of the season.The Reds, under the charge of coach Branko Nisevic, have already started working on their first-team squad ahead of their return to European football where they will be featuring in the first qualifying round of the UEFA Conference League.",
https://timesofmalta.com/,Formula One opt against replacing cancelled Russian Grand Prix,"The Russian Formula One Grand Prix cancelled due to Russia's invasion of Ukraine will not be replaced this season, the championship promoters said on Wednesday.It is believed there were several offers made to the promoters Formula One to replace the race scheduled for September 25 but cost issues ruled them out.“We can confirm that we have decided against replacing the Russian Grand Prix this season,” Formula One said in a statement on Wednesday.Continue reading this article on Sports Desk.",
https://timesofmalta.com/,Giovanni Tedesco returns for second spell as Birkirkara FC coach,"Giovanni Tedesco has been appointed as the new coach of Birkirkara FC.The Stripes have been on look-out of a new coach after they parted ways with Dutchman Andre Paus with only three matches left from the end of the BOV Premier League season.Once the season finished, Birkirkara made an approach to Tedesco, whose contract with Sta Lucia also expired at the end of the campaign.Talks moved swiftly before an agreement was reached that will see Tedesco put pen to paper on a one-year contract with an option of another year.For Tedesco, this will be his second spell at Birkirkara FC with whom he experienced some great satisfactions.",
https://timesofmalta.com/,Malta to be taken to European court over 'discriminatory' car registration tax,"The European Commission said on Thursday it will take Malta to court over its discriminatory rules on registering cars and other motor vehicles imported from the EU. Malta's reply to the Commission's reasoned opinion on the matter was not deemed to be satisfactory so the country will be referred to the European Union's Court of Justice for taxing used cars imported from other member states more heavily than used cars purchased on the Maltese market.The step follows the time given to Malta to rectify the situation after the Commission said that Malta was discriminating in its car registration tax.According to Maltese tax rules, cars registered after 2009 and imported from other EU states are taxed more heavily than similar cars registered in Malta before that date.The rules were put in place by the government in 2008 in a bid to protect local car import companies from far cheaper second-hand imports from the EU. Brussels had opened infringement proceedings against Malta over the rules which it says are incompatible with the Treaty on the Functioning of the European Union (TFEU), prohibiting discrimination against imported products.The Maltese car taxation system does not take into account the date of first registration of the vehicle, where registration took place in another member state, it said.It holds that the Maltese car taxation system has a discriminatory effect with respect to motor vehicles coming from other EU states.The bulk of second-hand vehicles imported into Malta used to come from the United Kingdom although this has somewhat changed since Brexit.The Commission said on Thursday that, in the absence of harmonisation of car taxes, each member state can arrange its tax measures in accordance with its own assessments.However, the TFEU requires each member state to select and arrange car taxes in such a way that they do not have the effect of promoting sales of domestic second-hand cars and so discourage the transfer of similar second-hand cars from other member states.This discriminatory effect is not compatible with Article 110 TFEU, which prohibits discrimination against imported products, the statement read.",
https://timesofmalta.com/,Roberta Metsola dons vyshyvanka in support of Ukraine's fight for freedom,"European Parliament president Roberta Metsola donned a vyshyvanka on Thursday as Ukrainians around the world celebrated Vyshyvanka Day.Celebrated every third Thursday of May, Vyshyvanka Day aims to preserve the original folk traditions of creating and wearing ethnic embroidered Ukrainian vyshvankas, one of the best-known symbols of Ukrainian culture.Vyshvankas are also believed to have protective powers.Lithuanian Prime Minister Ingrida Šimonytė invited European Commission president Ursula Von der Leyen, Metsola and European Commission vice-president Vera Jourova to wear a vyshyvanka as a symbol of EU belief in the power of Ukraine.Metsola accepted the invitation and tweeted:""Today, on Vyshyvanka Day, I join Ukrainians around the world in their tradition to wear a vyshyvanka.“Ukrainians' fight for freedom is our fight too.”",
https://timesofmalta.com/,British-era relic still at minister's house,"A British-era stone marker is still in Agriculture Minister Anton Refalo's home, he confirmed on Thursday, while remaining evasive on how it was acquired.The minister has come under fire after photos on Facebook emerged showing the historic artefact in his house, raising questions as to whether such an item could be privately owned.Refalo is a former chair of Heritage Malta and a known art collector.While remaining evasive on how the stone marker came into his possession, Refalo confirmed to Times of Malta that it is still in his Qala home. “The stone marker is still at my place near the pool,” he said.“I invited the Superintendent of Cultural Heritage to see it, he did and it's still there. I don't think I would do anything to it that wasn't under instruction from the Superintendence.” Asked whether he had received clearance for the artefact to remain in his home, Refalo did not confirm nor deny it, stating only that he intended to cooperate fully with authorities.“I have told them, even in writing, that I will obey every directive they give me because I intend to cooperate in full.” Pressed on how he had acquired the stone marker, the minister insisted he had not taken advantage of his position at Heritage Malta to do so.“I have never abused of any position, national heritage is a part of my heart and I love everything that is Maltese.” He added that he had nothing further to comment on the matter. Earlier in May, Refalo was questioned by the police about the stone marker being in his possession.The Superintendence of Cultural Heritage, as well as Heritage Malta have been mum on the future of the artefact.  ",
https://timesofmalta.com/,Can artificial intelligence solve the traffic problem?,"Malta is turning to Artificial Intelligence to reduce traffic congestion, improve the distribution of energy and avoid scenarios of out-of-stock medicine among others through an investment of €4 million.The funds will be injected in six national projects led by the Malta Digital Innovation Authority:-Management traffic project (€2million). Existing traffic lights, CCTV and display panels systems will be incorporated into one system to be able to draw up traffic patterns and understand better what is causing congestion. The project would eventually help reduce congestion and time spent in traffic as the information will be passed on to Transport Malta's control centre, which will in turn distribute the information among motorists through apps such as Google Maps.-Understand and better manage energy load distribution across the island by collecting data from ARMS, Enemalta and Water Service Corporation (€376,000). Analysing the data collected through these three entities would allow the same entities to maximise their resources and provide real-time support. It would also become possible to forecast problems by analysing past data. This investment is a stepping stone towards the implementation of a smart grid network that would see energy clients receiving information about possible energy wastage at home.-24/7 chatbot for servizz.gov and 153 phone clients (€590,000). The chatbot service will be in Maltese and English and will help clients avoid having to physically turn up at one of the branches if they don't find the information they require online.-Personalised educational programmes depending on children's achievements, skills and their aspirations (€150,000).-Analysing budget and stock levels of the health services' Central Procurement Supply Unit (€300,000). The system would help forecast demand and supply to avoid out-of-stock medicine.-A system that creates what is known as digital tourist 'personas' depending on visitors' interests, lifestyle and demographics (€800,000). With the help of these personas, the Malta Tourism Authority would be able to better understand what tourists are actually after and can draft policies and initiatives based on visitors' changing interests.All six projects are set to be completed by 2023, with the traffic management project being completed by 2024.The AI systems are being applied to scenarios that involve a huge amount of data that cannot be processed manually, Minister Silvio Schembri assured at a press conference on Thursday.The projects, he added, formed part of the national AI strategy, with the ultimate aim being to support citizens in their everyday life, incentivise research and ensure progress in the health and education sectors.""We aspire to become a place from where companies can set up and develop AI systems. Through these projects we can also show that Malta can adapt to such new technologies.""AI, he noted, could be adapted to everyday processes that most take for granted. The strategy was launched in 2019, but the launch of projects required a lot of research, he said.MDIA CEO Kenneth Brincat told the same conference that a further €500,000 had been invested in research and scholarships.Since the strategy's launch in 2019, the authority itself had carried out research and work to ensure that its aims are effectively implemented by 2030.He added that the authority's most important role was its regulatory responsibilities.Brincat said that while Malta already had a certified regulatory programme for the AI sector, the EU was still discussing a mandatory regulatory framework. ",
